id,R_1,G_1,B_1,R_2,G_2,B_2,R_3,G_3,B_3,R_4,G_4,B_4,R_5,G_5,B_5,R_6,G_6,B_6,R_7,G_7,B_7,R_8,G_8,B_8,label
110,-0.878274,-0.961023,-0.814916,1.523921,0.80868,0.938816,11.349538,-1.225239,-2.721395,4.92805,-0.791859,-4.426594,1.410872,1.162338,-1.454819,-4.60964,-2.7907,4.100472,-10.087973,-3.899954,-1.426129,-10.792326,-2.508665,1.134877,0
111,2.25831,2.06979,1.967621,-2.174983,-4.125394,-4.695759,18.525659,0.806322,-2.261069,3.46545,-2.066312,-5.635959,-4.448973,-3.703113,-4.8674,-8.781742,-6.128254,3.237675,-15.67668,-6.010696,-1.605821,-26.336172,-11.010585,-4.03911,0
112,4.063039,5.396658,5.077567,4.254109,3.483265,2.961188,13.756293,0.782436,-1.161853,-2.514236,-6.227966,-6.905383,2.488714,1.370163,-0.127884,-1.168453,0.725574,6.973086,-7.533483,-0.542951,1.385878,-11.287023,-4.969001,-2.236671,0
113,2.89202,4.248751,4.774904,6.736843,5.702347,5.948518,7.681659,-1.590303,-3.233775,0.810014,-3.516438,-5.790903,-3.324009,-3.70012,-4.797456,-7.700213,-6.572359,-0.419523,-14.900868,-8.11681,-6.138109,-0.429028,4.528358,3.267122,0
114,-0.733206,-0.015025,-0.373713,-2.666289,-4.375684,-4.243317,9.213419,-1.312237,-2.725151,4.399443,0.83708,-1.501859,-2.362424,-2.580653,-3.664795,-6.178785,-5.063878,0.147248,-9.582315,-3.671815,-2.603471,-10.101266,-2.482772,-0.733099,0
115,1.392921,2.060258,2.104908,1.070508,0.141894,-0.621667,12.229839,-0.596096,-1.181238,9.548897,5.374936,3.579874,-3.029461,-3.018414,-4.144453,-10.797022,-8.584,-1.251913,-8.362966,-1.275966,-0.112751,-14.188561,-4.357104,-0.160665,0
116,4.283823,5.554872,6.295479,5.398895,4.343011,5.076982,16.420098,0.167578,-1.446647,6.251802,1.656541,-1.037684,5.63349,4.773028,2.22361,-16.582935,-14.308743,-2.95091,-10.287301,-2.449422,0.439678,-19.361078,-7.017407,-1.918011,0
117,2.412831,4.536753,3.879267,-4.255302,-5.123463,-5.405871,14.163043,-0.305836,-1.88512,10.558484,6.917181,4.582759,2.324728,0.318944,-2.07686,-12.924744,-10.82786,-0.882678,-10.354153,-2.434047,-0.88591,-9.728598,-2.354269,1.446951,1
118,-2.669052,-2.048574,-2.698005,8.335337,6.252221,7.325972,12.630507,-1.336824,-2.269882,-3.844898,-7.169638,-7.28438,-1.726199,-2.298242,-3.967453,-17.173396,-14.604143,-1.194589,-16.466539,-6.833613,-2.478771,-16.008921,-4.832172,0.800825,0
119,-4.38892,-4.819959,-4.923778,-0.050981,-1.517976,-2.114655,-4.966653,-4.803023,-3.758591,-2.773295,-5.147283,-1.799469,-6.726411,-6.136359,-8.991785,1.250588,0.953078,-2.247298,-5.518557,-3.179694,-2.86558,-9.12336,-5.960989,-3.513046,0
120,-4.272934,-4.501996,-6.045348,-2.93904,-4.134002,-5.555483,-8.918918,-3.090886,-2.219078,-1.597468,-9.331197,-4.149175,-3.444821,-2.778069,-6.695046,-8.179157,-6.57712,-6.922601,-10.349589,-6.182745,-5.014577,-8.961674,-4.438592,-1.40087,0
121,1.708825,3.967239,3.139205,6.508003,6.268551,6.276644,-0.716057,-1.615103,-0.941621,-12.082756,-11.972141,-5.511336,-7.429396,-6.227617,-8.213436,-0.396046,0.790742,-1.48769,-10.087187,-5.937368,-4.833141,-2.331096,-0.104663,-0.056475,0
122,5.513814,7.259766,6.316737,9.46685,9.153989,9.194408,1.135918,-0.356941,0.231636,-9.081249,-9.972404,-5.558518,-0.86584,-0.719129,-2.825497,-5.799401,-3.966532,-4.313723,-9.790432,-4.779148,-4.395974,-6.31768,-1.948337,-0.38807,0
123,0.73198,1.571776,1.81794,4.137584,2.639015,2.972898,3.070293,0.014543,0.127035,-2.877822,-3.718106,-0.309287,-1.275942,-2.457605,-3.80406,-5.63803,-3.803879,2.951605,-6.348038,-1.963352,-0.315793,-8.59175,-1.42501,1.268007,0
124,4.484599,5.525198,5.726615,7.806664,6.064756,6.646027,0.782285,-0.343226,-0.021673,-0.533433,-1.382947,1.939743,0.863099,-0.590889,-1.739747,-10.463104,-8.577441,-1.516813,-6.813271,-1.022023,-1.017708,-3.392262,1.801494,2.526889,0
125,-6.376648,-7.318898,-8.331087,4.792227,4.375407,4.122933,3.331906,1.809388,1.97645,-1.899855,-3.828488,-0.489696,3.778169,2.784311,0.050514,-8.648285,-6.758069,-4.668342,-13.124916,-6.507277,-4.204517,-13.963332,-6.519505,-4.164716,0
126,-4.33752,-4.514585,-4.527805,2.196007,1.890326,1.821251,1.836619,-1.945226,-2.161238,-6.587252,-7.649651,-3.042922,-0.713237,-1.035772,-2.83456,-1.897952,-0.20897,0.777743,-7.422681,-2.478143,-1.765642,-8.2845,-2.776102,-1.537847,0
127,-4.090933,-4.01622,-4.789514,-2.440064,-2.243336,-3.218419,1.439934,-1.206957,-1.038281,-1.128048,-4.051136,-3.958711,-4.948533,-5.21684,-6.925046,-3.973026,-2.871677,-0.623376,-1.739413,1.119868,0.632779,-6.13773,-2.031126,-1.060945,0
128,-3.129902,-3.122857,-3.789018,0.735489,0.765665,0.602552,1.758904,0.281522,0.544576,2.733759,0.439421,1.08611,-6.28835,-5.698504,-6.60732,-3.645791,-1.155758,-1.684146,-6.90709,-2.484108,-2.056724,-8.894975,-2.941401,-1.993295,0
129,-0.782129,-0.043474,-0.319332,2.15939,1.817127,1.257043,4.292632,-0.884305,0.968143,-5.027472,-5.308768,-1.162529,4.638719,4.441674,2.357734,-14.392907,-10.647619,-2.357288,-11.0204,-2.361926,0.252139,-16.654874,-5.364451,-0.603677,1
